CodFiscalClient,NrFactura,Libraria,DataFactura,Valoare Marfuri,ValTVAMarfa,Valoare Produse,ValTVAProduse,BAZA,TOTALTVA,TOTAL,Denumire
23297424,20220839,,5/2/2022,0,0,336,63.84,336,63.84,399.84,Asociatia de proprietari Bl. G1
13467556,20220840,polus,5/2/2022,285.34,54.21,0,0,285.34,54.21,339.55,International Paper Business Srl
361307,20220841,53,5/2/2022,0,0,452.3,85.94,452.3,85.94,538.24,COMPANIA DE LIBRARII S.A.
361307,20220842,880,5/2/2022,734.75,139.6,165.3,31.41,900.05,171.01,1071.06,COMPANIA DE LIBRARII S.A.
361307,20220843,42,5/2/2022,532.5,101.18,165,31.35,697.5,132.53,830.03,COMPANIA DE LIBRARII S.A.
361307,20220844,34,5/3/2022,0,0,518.2,98.46,518.2,98.46,616.66,COMPANIA DE LIBRARII S.A.
361307,20220845,39,5/3/2022,186,35.34,261.1,49.61,447.1,84.95,532.05,COMPANIA DE LIBRARII S.A.
361307,20220846,22,5/3/2022,0,0,514.5,97.76,514.5,97.76,612.26,COMPANIA DE LIBRARII S.A.
361307,20220847,13,5/3/2022,659.75,125.35,1666.5,316.64,2326.25,441.99,2768.24,COMPANIA DE LIBRARII S.A.
361307,20220848,128,5/3/2022,0,0,62.6,11.89,62.6,11.89,74.49,COMPANIA DE LIBRARII S.A.
13467556,20220849,iulius,5/3/2022,251.95,47.87,0,0,251.95,47.87,299.82,International Paper Business Srl
361307,20220850,7,5/3/2022,532.5,101.18,512.3,97.34,1044.8,198.52,1243.32,COMPANIA DE LIBRARII S.A.
361307,20220851,106,5/3/2022,175,33.25,390,74.1,565,107.35,672.35,COMPANIA DE LIBRARII S.A.
361307,20220852,15,5/3/2022,0,0,54.3,10.32,54.3,10.32,64.62,COMPANIA DE LIBRARII S.A.
361307,20220853,137,5/3/2022,0,0,296.6,56.35,296.6,56.35,352.95,COMPANIA DE LIBRARII S.A.
36318863,20220854,,5/3/2022,0,0,1508.8,286.67,1508.8,286.67,1795.47,DEFCON Management SRL
361307,20220855,19,5/3/2022,0,0,564.5,107.26,564.5,107.26,671.76,COMPANIA DE LIBRARII S.A.
4363815,20220856,,5/3/2022,0,0,525,99.75,525,99.75,624.75,STEFI DOR COM SRL
361307,20220857,94,5/3/2022,0,0,291.3,55.35,291.3,55.35,346.65,COMPANIA DE LIBRARII S.A.
16491613,20220858,,5/4/2022,0,0,200,38,200,38,238,Asociatia de Proprietari bl. M132
32543420,20220859,Arc,5/4/2022,0,0,300,57,300,57,357,Aha Horeca Consulting  Srl
15215318,20220860,,5/4/2022,0,0,165,31.35,165,31.35,196.35,SANCO GRUP S.R.L.
361307,20220861,96,5/4/2022,0,0,240.5,45.7,240.5,45.7,286.2,COMPANIA DE LIBRARII S.A.
361307,20220862,72,5/4/2022,887.5,168.62,0,0,887.5,168.62,1056.12,COMPANIA DE LIBRARII S.A.
13467556,20220863,polus,5/4/2022,-3.24,-0.62,0,0,-3.24,-0.62,-3.86,International Paper Business Srl
361307,20220864,72,5/4/2022,-59.14,-11.24,0,0,-59.14,-11.24,-70.38,COMPANIA DE LIBRARII S.A.
361307,20220865,13,5/4/2022,0,0,432.5,82.18,432.5,82.18,514.68,COMPANIA DE LIBRARII S.A.
4517523,20220866,,5/4/2022,0,0,300,57,300,57,357,DEMIUMA COMIMPEX S.R.L.
361307,20220867,39,5/5/2022,610,115.9,315,59.85,925,175.75,1100.75,COMPANIA DE LIBRARII S.A.
25761333,20220868,,5/5/2022,6720,1276.8,0,0,6720,1276.8,7996.8,DER COLOR S.R.L.
25761333,20220869,,5/5/2022,3000,570,0,0,3000,570,3570,DER COLOR S.R.L.
37570469,20220870,Dacia,5/5/2022,0,0,899,170.81,899,170.81,1069.81,Folder Carpatica Srl
37570469,20220871,Pantelimon,5/5/2022,0,0,1157,219.83,1157,219.83,1376.83,Folder Carpatica Srl
361307,20220872,37,5/5/2022,887.5,168.62,0,0,887.5,168.62,1056.12,COMPANIA DE LIBRARII S.A.
361307,20220873,109,5/5/2022,585.5,111.24,912.6,173.39,1498.1,284.63,1782.73,COMPANIA DE LIBRARII S.A.
45113301,20220874,Epoque,5/5/2022,0,0,375,71.25,375,71.25,446.25,Dexterity Chef SRL
43333343,20220875,,5/5/2022,0,0,175,33.25,175,33.25,208.25,Master ATC Invest SRL
361307,20220876,94,5/5/2022,435,82.65,1733.8,329.42,2168.8,412.07,2580.87,COMPANIA DE LIBRARII S.A.
28520461,20220877,Diplomat,5/5/2022,8625,1638.75,945,179.55,9570,1818.3,11388.3,Hotpoint Network SRL
28520461,20220878,Diplomat,5/5/2022,4400,836,2135,405.65,6535,1241.65,7776.65,Hotpoint Network SRL
361307,20220879,7,5/6/2022,0,0,-86,-16.34,-86,-16.34,-102.34,COMPANIA DE LIBRARII S.A.
361307,20220880,15,5/6/2022,435,82.65,264,50.16,699,132.81,831.81,COMPANIA DE LIBRARII S.A.
361307,20220881,114,5/6/2022,887.5,168.62,0,0,887.5,168.62,1056.12,COMPANIA DE LIBRARII S.A.
361307,20220882,53,5/6/2022,532.5,101.18,483.5,91.86,1016,193.04,1209.04,COMPANIA DE LIBRARII S.A.
361307,20220883,880,5/6/2022,0,0,146.3,27.8,146.3,27.8,174.1,COMPANIA DE LIBRARII S.A.
361307,20220884,41,5/6/2022,622.5,118.28,5209.9,989.88,5832.4,1108.16,6940.56,COMPANIA DE LIBRARII S.A.
361307,20220885,13,5/6/2022,327.5,62.23,77.5,14.72,405,76.95,481.95,COMPANIA DE LIBRARII S.A.
361307,20220886,41,5/9/2022,0,0,-165,-31.35,-165,-31.35,-196.35,COMPANIA DE LIBRARII S.A.
361307,20220887,41,5/9/2022,0,0,165,31.35,165,31.35,196.35,COMPANIA DE LIBRARII S.A.
361307,20220888,41,5/9/2022,901,171.19,0,0,901,171.19,1072.19,COMPANIA DE LIBRARII S.A.
361307,20220889,880,5/9/2022,0,0,-297.5,-56.53,-297.5,-56.53,-354.03,COMPANIA DE LIBRARII S.A.
13467556,20220890,iulius,5/10/2022,593.7,112.8,0,0,593.7,112.8,706.5,International Paper Business Srl
15340540,20220891,,5/10/2022,0,0,750,142.5,750,142.5,892.5,SEBI MARC SRL
361307,20220892,60,5/10/2022,0,0,253.5,48.16,253.5,48.16,301.66,COMPANIA DE LIBRARII S.A.
13467556,20220893,polus,5/10/2022,486.82,92.5,0,0,486.82,92.5,579.32,International Paper Business Srl
